
#ATNF Pulsar Catalogue
#Catalogue Version: 1.65
INDEX;NAME;PSRJ;RAJ;DECJ;RAJD;DECJD;BINCOMP;ASSOC;SURVEY;PSR;
#;;;(hms);(dms);(deg);(deg);;;;TYPE;
190;B0458+46;J0502+4654;05:02:04.5;+46:54:06.0;75.51900417;46.90169167;*;*;gb1,gb3,gbncc;*;
191;B0502-66;J0502-6617;05:02:50.5;-66:17:58.8;75.71054167;-66.29966667;*;EXGAL:LMC;misc;*;
192;J0506+50;J0506+50;05:06:14.1;+50:30:30;76.55875000;50.50833333;*;GRS:4FGL_J0506.1+5028[fermi21];fast_uwb,FermiAssoc;HE[qpl+19,fermi21];
193;J0509+0856;J0509+0856;05:09:22.2;+08:56:25.0;77.34264521;8.94028467;He(?)[mgf+19];*;ar327;*;
194;J0509+3801;J0509+3801;05:09:31.7;+38:01:18.0;77.38245035;38.02168971;NS[lsk+18];*;gbncc;*;
195;J0511-6508;J0511-6508;05:11:56.5;-65:08:36.5;77.98541667;-65.14347222;*;*;misc;*;
196;J0514-4002A;J0514-4002A;05:14:06.6;-40:02:48.8;78.52788629;-40.04691472;*;GC:NGC1851;misc;*;
197;J0514-4408;J0514-4408;05:14:52.1;-44:08:37.3;78.71745833;-44.14371667;*;GRS:[brs+19];ghrss;HE[brs+19];
198;J0517+2212;J0517+2212;05:17:17.1;+22:12:51.9;79.32144583;22.21441667;*;*;ar4,lotaas;*;
199;J0518+5125;J0518+5125;05:18:26.1;+51:25:58.7;79.60893750;51.43297222;*;*;lotaas;*;
